family support;competition;appearance;God's love;accademic competence;virtue;other's approval
19;35;32;5;35;25;32
21;22;14;10;29;31;15
27;33;28;28;31;31;22
32;30;30;5;30;30;24
27;28;20;7;27;30;11
21;32;15;19;31;28;17
23;20;22;5;28;20;17
24;24;24;19;24;23;16
19;18;20;7;25;25;17
11;29;33;5;28;5;19
29;20;23;5;21;21;20
26;22;25;5;28;30;21
13;19;17;5;25;21;9
28;21;25;5;26;29;18
21;24;22;17;25;18;17
31;26;19;5;32;27;10
23;19;24;5;15;25;15
16;30;33;6;30;25;19
24;25;21;19;23;26;17
27;21;22;8;24;25;15
31;26;27;24;29;32;20
26;17;30;5;31;26;22
29;23;22;21;25;29;10
26;21;22;5;29;22;14
20;28;24;5;26;32;20
25;26;25;20;33;27;25
29;32;27;5;32;28;26
30;33;25;20;20;25;9
34;34;29;5;34;30;29
28;23;27;5;35;30;32
33;29;22;5;31;25;24
28;14;12;5;25;24;15
27;24;19;8;25;26;20
21;8;17;10;24;24;12
30;27;26;23;23;28;23
28;26;26;5;32;23;32
27;23;24;5;28;28;11
29;31;25;16;33;28;27
29;30;31;20;31;30;28
30;16;29;5;25;24;23
27;28;19;21;28;34;20
30;27;31;5;29;25;30
28;26;16;27;34;32;23
28;27;27;17;26;23;24
23;20;17;5;20;17;22
34;29;24;22;32;27;9
34;8;20;5;26;29;16
29;27;21;10;27;27;25
33;25;25;5;31;27;22
30;35;25;14;35;28;24
22;17;14;6;31;33;14
29;28;22;5;32;31;21
